number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
40,0.8697688826933975,16.076456985557805,11.773966303592273,2025-12-15 21:26:18.387580,2025-12-15 21:26:20.414158,0 days 00:00:02.026578,0.9805952819119571,0.1965535833482824,8,48,1470,91,0.9053506419560637,0.19579113478929644,0.6930513189003871,0,COMPLETE
41,0.7924456435801904,20.30592128741573,15.117750419934774,2025-12-15 21:26:20.415155,2025-12-15 21:26:21.786484,0 days 00:00:01.371329,0.6594878151468806,0.03922562039945373,3,36,673,32,0.8448753109694546,0.023271935735825866,0.5355943242301144,0,COMPLETE
42,0.8640778720717487,16.4212974690568,12.09866746661967,2025-12-15 21:26:21.788480,2025-12-15 21:26:26.254528,0 days 00:00:04.466048,0.8675355219019429,0.09173788468428597,4,33,2536,111,0.8034809303848486,0.2820345725713065,0.9387360067635264,0,COMPLETE
43,0.8723059616562086,15.921402410481926,11.657582025238085,2025-12-15 21:26:26.255525,2025-12-15 21:26:28.337953,0 days 00:00:02.082428,0.8882064803709984,0.22767827797584891,13,23,943,149,0.34080354025301784,0.9307573256035647,0.6860090428963916,0,COMPLETE
44,0.8749119588355743,15.759510136058557,11.552160817196574,2025-12-15 21:26:28.339948,2025-12-15 21:26:30.997835,0 days 00:00:02.657887,0.7526261862239285,0.13440826793875532,12,9,2646,118,0.8264574661077416,0.32004960103061175,0.9512764533397833,0,COMPLETE
45,0.8601379646712985,16.66289455461824,12.304892415709968,2025-12-15 21:26:30.999829,2025-12-15 21:26:34.804647,0 days 00:00:03.804818,0.9750309835254025,0.12286848683290728,3,9,2739,138,0.9506071469375561,0.5734378881232861,0.6596568187952074,0,COMPLETE
46,0.8698917837635116,16.070765149553704,11.79274077039096,2025-12-15 21:26:34.805644,2025-12-15 21:26:37.486471,0 days 00:00:02.680827,0.8957895218629243,0.14004920137371274,6,35,2080,63,0.7896181427945539,0.09120610304869037,0.87618726471884,0,COMPLETE
47,0.871059264946038,15.996710936727672,11.764555797961208,2025-12-15 21:26:37.487468,2025-12-15 21:26:48.834104,0 days 00:00:11.346636,0.558533508213803,0.02669204040482684,10,45,1736,77,0.14299168205283586,0.7615106317174722,0.6754575062760393,0,COMPLETE
48,0.8616588143387668,16.56985596384566,12.22464545466583,2025-12-15 21:26:48.836098,2025-12-15 21:26:54.458053,0 days 00:00:05.621955,0.8531211135782482,0.039325576075609166,4,8,2046,111,0.08134878064189976,0.08483771408519192,0.9109300296451781,0,COMPLETE
49,0.8712933660895553,15.98403952277871,11.718527375703752,2025-12-15 21:26:54.459050,2025-12-15 21:26:57.790137,0 days 00:00:03.331087,0.8766890926294708,0.11853853076927488,7,48,2967,126,0.37625958553091576,0.08350071669866876,0.9930005319114354,0,COMPLETE
